tau,T,cost_pure_llm_usd,cost_switching_usd,cost_saving_usd,cost_saving_pct,threshold_pct,threshold_score,llm_trials_to_target,switch_trials_to_target,trials_saved,llm_final_score,gp_final_score,switch_final_score,quality_delta,gp_advantage,llm_improvement_after_tau,llm_plateaued,model,dataset,seed,start_idx
1,25,0.0058959999999998,0.000132,0.0057639999999998,97.76119402985066,0.95,0.9309999999999999,1,1,0,0.9733333333333334,0.98,0.98,0.006666666666666599,0.006666666666666599,0.020000000000000018,False,svm,iris,0,0
20,25,0.005821499999998401,0.0045209999999988,0.0013004999999996006,22.339603195052096,0.95,0.9309999999999999,1,1,0,0.9733333333333334,0.98,0.98,0.006666666666666599,0.006666666666666599,0.0,True,svm,iris,0,1
1,25,0.0059324999999998,0.000132,0.0058004999999998,97.77496839443734,0.95,0.9309999999999999,1,1,0,0.96,0.98,0.98,0.020000000000000018,0.020000000000000018,0.0,True,svm,iris,0,2
1,25,0.005906499999999799,0.000132,0.005774499999999799,97.76517396089046,0.95,0.9309999999999999,1,1,0,0.9733333333333334,0.98,0.98,0.006666666666666599,0.006666666666666599,0.020000000000000018,False,svm,iris,1,0
1,25,0.005906499999999799,0.000132,0.005774499999999799,97.76517396089046,0.95,0.9246666666666666,1,1,0,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0,0.0,0.020000000000000018,False,svm,iris,1,1
2,25,0.0062484999999999,0.0002825,0.0059659999999999,95.47891493958544,0.95,0.9246666666666666,1,1,0,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0,0.0,0.006666666666666821,False,svm,iris,1,2
12,25,0.0064724999999999,0.0026374999999999,0.0038350000000000003,59.250675936655995,0.95,0.9309999999999999,1,1,0,0.9666666666666668,0.98,0.98,0.013333333333333197,0.013333333333333197,0.0,True,svm,iris,2,0
1,25,0.006114499999999999,0.000132,0.005982499999999999,97.84119715430535,0.95,0.9309999999999999,1,1,0,0.9733333333333334,0.98,0.98,0.006666666666666599,0.006666666666666599,0.01333333333333342,False,svm,iris,2,1
4,25,0.0063794999999999,0.0006265,0.0057529999999999,90.17948115056022,0.95,0.9183333333333334,1,1,0,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.0,0.0,2.220446049250313e-16,True,svm,iris,2,2
23,25,0.006282,0.005718000000000001,0.0005639999999999994,8.97803247373447,0.95,0.9394444444444443,1,1,0,0.9663492063492064,0.9888888888888888,0.9888888888888888,0.022539682539682415,0.022539682539682415,0.0,True,svm,wine,0,0
